Compostos voláteis das cervejas (variáveis independentes),,,,,,Análise sensorial das cervejas (variáveis dependentes),,
geraniol (cis),linalool,myrcene,α-humulene,β-caryophyllene,,citrus,herbal (herbaceous),overall hoppy intensity
"11,2","202,4","222,0","5,7","10,3",,"1,1","1,1","2,5"
"17,9","340,2","275,1","8,3","15,5",,"1,1","0,8","1,9"
"8,2","195,9","162,8","4,1","7,6",,"1,1","0,7","1,9"
"13,8","224,8","233,5","6,3","11,3",,"1,1","0,9","2,3"
"9,2","82,0","61,0","5,0","9,7",,"1,1","1,3","2,7"
"12,3","119,4","100,8","4,5","7,4",,"1,2","0,9","2,3"
"17,8","263,0","282,6","6,3","11,7",,"1,2","1,1","2,5"
"13,9","171,3","184,5","5,6","9,3",,"1,2","0,9","2,5"
"13,8","253,3","277,6","6,5","11,7",,"1,2","1,4","2,8"
"14,7","253,3","285,1","7,1","13,1",,"1,2","1,0","2,2"
"11,8","236,9","275,1","6,3","11,8",,"1,3","0,8","2,2"
"3,9","47,3","71,5","5,5","9,4",,"1,3","0,8","2,3"
"5,2","71,4","120,8","5,2","8,6",,"1,3","1,0","2,8"
"6,2","108,8","148,0","5,2","8,8",,"1,3","0,9","2,7"
"7,7","194,2","380,1","7,0","12,7",,"1,3","1,0","2,5"
"8,6","133,9","280,1","5,7","9,9",,"1,4","1,3","3,0"
"7,2","124,7","143,0","3,6","8,6",,"1,5","1,6","2,2"
"9,7","143,3","100,5","3,9","8,8",,"1,6","1,6","2,3"
"5,7","43,9","89,8","2,6","5,7",,"1,5","1,7","2,4"
"4,6","34,3","41,3","2,2","4,7",,"1,4","1,7","2,3"
"4,8","68,5","70,8","2,6","5,4",,"1,5","1,5","2,2"
"6,4","51,9","59,0","2,6","5,7",,"1,7","1,7","2,3"
"4,8","44,9","33,5","3,7","6,3",,"1,4","1,5","2,1"
"10,3","93,6","107,5","3,7","7,5",,"1,8","1,8","2,5"
"6,1","52,8","53,8","1,8","3,6",,"1,7","1,5","2,3"
"7,1","100,1","127,3","3,9","8,2",,"1,8","1,9","2,7"
"4,2","43,2","68,8","3,2","6,4",,"1,3","1,7","2,3"
"1,1","11,8","17,4","1,9","3,3",,"1,3","1,6","2,1"
"6,1","102,8","130,3","3,9","8,1",,"1,7","1,6","2,4"
"12,5","207,0","282,6","5,7","11,4",,"2,0","1,8","2,6"
"12,7","110,7","90,8","2,4","5,7",,"2,1","1,7","2,8"
"8,3","84,7","69,8","3,9","7,7",,"1,6","1,5","2,3"
"13,6","126,7","78,5","2,7","5,9",,"2,0","2,2","2,8"
"6,6","139,4","144,8","3,1","7,3",,"2,0","1,7","2,5"
"4,9","40,5","41,8","3,8","6,4",,"1,5","1,5","2,1"
"9,9","115,8","95,8","3,0","6,7",,"1,5","1,6","2,3"
"3,6","35,0","29,8","3,1","5,4",,"1,4","1,6","2,2"
"5,6","42,2","31,0","3,0","5,7",,"1,7","1,6","2,3"
"8,2","72,1","67,5","4,3","7,7",,"1,8","1,7","2,5"
"2,3","22,7","31,3","1,9","4,1",,"1,8","1,7","2,3"
"8,5","71,4","50,3","2,5","5,1",,"1,6","1,8","2,4"
"8,7","75,3","51,3","4,4","7,6",,"2,1","2,2","2,9"
"3,8","34,3","32,3","1,5","3,1",,"1,4","1,4","2,1"
"5,5","94,6","109,0","2,9","6,3",,"1,6","1,6","2,3"
"10,5","122,6","100,8","3,4","7,8",,"1,9","2,0","2,8"
"187,2","166,0","112,5","3,3","7,7",,"1,1","0,9","1,7"
"324,8","337,8","159,3","8,2","16,3",,"1,4","1,1","2,2"
"294,2","318,5","212,5","3,6","9,6",,"1,4","1,1","2,3"
"476,4","349,8","187,8","6,9","14,6",,"1,4","1,1","2,1"
"275,2","335,3","162,3","5,6","13,0",,"1,2","1,0","2,0"
"248,6","340,2","180,3","4,7","11,2",,"1,6","1,2","2,4"
"379,8","330,5","157,3","7,0","14,9",,"1,7","1,2","2,5"
"273,5","228,2","107,0","5,8","12,5",,"1,3","1,2","2,1"
"234,2","248,5","205,8","5,0","11,7",,"1,6","1,3","2,5"
"207,9","149,6","168,8","5,3","12,5",,"1,4","1,1","2,2"
"114,6","214,5","235,0","3,9","10,2",,"1,6","1,5","2,8"
"175,6","352,2","193,5","8,9","22,0",,"1,6","1,2","2,3"
"144,6","289,5","82,8","4,1","9,9",,"1,3","1,3","2,1"
"135,9","308,8","96,0","4,8","12,0",,"1,3","1,0","1,9"
"90,6","221,2","66,5","4,0","10,0",,"0,9","1,0","1,7"
"138,3","258,1","100,0","4,1","9,7",,"1,4","1,2","2,2"
"152,9","311,2","139,8","4,0","10,3",,"1,4","1,2","2,3"
"193,2","316,0","174,5","3,6","9,9",,"1,8","1,6","2,9"
"115,3","161,2","52,8","3,9","8,6",,"0,7","0,9","1,4"
"115,3","209,6","88,3","3,4","8,0",,"1,4","1,3","2,1"
"154,3","337,8","153,8","4,7","11,4",,"1,2","1,0","1,8"
"157,6","308,8","91,3","4,7","11,1",,"1,3","1,2","2,1"
"202,2","255,7","74,5","5,7","12,4",,"1,1","1,2","1,9"
"184,6","376,4","100,3","5,4","11,9",,"1,5","1,3","2,4"
"167,6","263,0","162,3","6,2","12,6",,"1,4","1,2","2,1"
"152,6","378,8","193,0","4,4","11,8",,"1,9","1,5","2,9"
"139,3","275,0","87,0","5,1","11,1",,"1,1","1,1","1,8"
"158,3","255,7","124,0","4,8","12,5",,"1,1","1,0","1,9"
"138,3","234,7","137,0","5,3","11,0",,"1,2","1,0","1,9"
"155,9","279,9","62,5","4,6","10,5",,"1,8","1,4","2,7"
"170,6","311,2","90,3","5,6","14,0",,"0,9","1,1","1,7"
"213,6","369,1","166,0","4,8","11,7",,"1,3","1,4","2,2"
"152,3","340,2","125,0","5,3","13,4",,"1,4","1,3","2,3"
"6,4","21,7","3,6","1,9",,,"0,6","0,5","2,4"
"26,3","18,7",11,"1,9",,,"0,8","0,5","2,7"
57,150,7,,,,"1,1","0,3",
33,178,5,,,,"1,4","0,4",
14,72,7,,,,"1,9","0,0",
7,76,9,,,,"0,8","0,8",
31,88,5,,,,"1,0","1,8",
11,121,88,,,,"1,9","1,5",
"4,3","11,7","49,1",,"2,7",,,,"3,3"
"3,9","32,5","68,1",,"1,8",,,,"3,4"
"5,6","24,0","77,2",,"1,4",,,,"2,9"
"52,6","58,4","863,6","7,4","31,9",,"1,8","1,8",
"19,5",40,"117,4","1,4","4,8",,"1,3","1,1",
56,"40,6","408,9","2,8","16,4",,"1,7","1,1",
"5,2",145,"1,7","0,8","1,6",,"1,8","1,7",
"5,9",123,2,"0,8","1,3",,"2,3","1,8",
256,130,11,"0,1","2,0",,"2,3","0,9","3,1"
238,81,11,"0,2","5,3",,"2,0","0,7","3,1"
165,175,10,"0,6","1,3",,"1,9","0,9","3,3"
241,108,10,"0,7","1,1",,"2,3","1,0","3,6"
54,87,"10,6","4,2","1,8",,,,"3,0"
44,79,"9,3","4,5","1,6",,,,"2,9"
36,103,"26,3","5,6","1,6",,,,"3,3"
42,76,21,"8,4","1,9",,,,"2,8"
